TCSC,MAV,STE,MEA,Shannon_ent,sample_ent,band_power,segment_energy,skewness,kurtosis,std_dev,rhythm
11,0.27,1669.631,1425.927,4.672,0.374,0.006881,142.256129,-0.5634,2.8943,0.349,0
14,0.344,1866.243,1597.713,5.123,0.372,0.015669,226.839194,-0.4298,2.5739,0.4382,0
11,0.298,1756.281,1495.717,5.242,0.339,0.009125,166.170199,-0.6012,2.812,0.3797,0
11,0.262,1637.177,1412.309,4.815,0.331,0.006255,144.167321,-0.6331,3.3149,0.3507,0
9,0.285,1766.289,1503.535,4.64,0.333,0.008551,157.445958,-0.4983,2.6169,0.3647,0
14,0.313,1705.521,1450.758,5.002,0.346,0.011611,188.318461,-0.6503,2.885,0.3999,0
11,0.334,1766.812,1503.811,4.725,0.343,0.016783,220.339576,-0.3457,2.6472,0.4293,0
10,0.361,1712.234,1457.8,5.06,0.361,0.021615,246.193819,-0.1572,2.7839,0.4643,0
9,0.316,1813.519,1536.566,4.77,0.374,0.010913,183.579216,-0.429,2.5139,0.3959,0
9,0.346,1816.055,1548.449,5.205,0.268,0.01293,217.436753,-0.3005,2.6957,0.4376,0
12,0.331,1778.552,1506.125,5.373,0.298,0.009449,194.821514,-0.4531,2.7194,0.4132,0
11,0.311,1780.388,1515.043,5.267,0.25,0.007706,178.584508,-0.396,2.79,0.3945,0
12,0.295,1717.417,1469.592,5.206,0.222,0.008172,168.60433,-0.4101,3.0768,0.3831,0
12,0.337,1762.953,1507.736,5.307,0.235,0.015422,212.955152,-0.4286,2.9044,0.4348,0
10,0.356,1798.651,1531.385,5.264,0.249,0.017671,229.342729,-0.3353,2.6957,0.4514,0
10,0.336,1798.232,1533.093,5.18,0.242,0.012078,204.664969,-0.3378,2.7462,0.4265,0
11,0.389,1753.525,1493.962,4.944,0.364,0.028151,293.906452,-0.2022,2.7001,0.502,0
9,0.309,1745.193,1481.798,4.819,0.37,0.010181,184.615685,-0.4725,2.6807,0.394,0
12,0.36,1776.167,1511.124,5.039,0.336,0.018558,247.840874,-0.4701,2.7433,0.4573,0
12,0.276,1722.127,1470.178,4.903,0.355,0.007108,153.105779,-0.5238,2.8336,0.3587,0
15,0.347,1732.913,1474.744,4.805,0.359,0.018315,225.854307,-0.429,2.7707,0.4444,0
13,0.359,1786.692,1512.778,4.822,0.338,0.017919,241.232501,-0.4959,2.4882,0.4495,0
10,0.337,1746.965,1487.923,5.017,0.361,0.013383,214.170668,-0.5734,2.902,0.4308,0
9,0.336,1795.4,1523.99,4.818,0.349,0.013609,210.346135,-0.5619,2.659,0.4231,0
10,0.336,1701.821,1448.212,4.927,0.343,0.012622,219.598421,-0.5307,2.8237,0.4298,0
9,0.336,1758.419,1499.223,4.842,0.352,0.016149,211.767159,-0.441,2.8116,0.4305,0
10,0.332,1772.609,1502.926,4.822,0.36,0.015609,210.914306,-0.5273,2.5989,0.4185,0
11,0.346,1762.421,1489.764,4.891,0.366,0.018678,225.892417,-0.5821,2.5912,0.4338,0
9,0.305,1778.621,1521.52,4.892,0.312,0.011003,190.717117,-0.5507,2.7721,0.3968,0
9,0.304,1797.357,1541.733,4.347,0.232,0.012614,193.354407,-0.4382,2.6422,0.399,0
9,0.315,1813.682,1553.382,4.397,0.244,0.014488,200.746007,-0.4745,2.5723,0.409,0
10,0.303,1892.447,1635.676,4.401,0.256,0.014708,189.520038,-0.4364,2.5202,0.392,0
9,0.316,1883.882,1622.987,4.471,0.248,0.01472,198.718842,-0.4085,2.5629,0.4075,0
9,0.297,1822.284,1563.769,4.481,0.252,0.011023,180.515161,-0.4628,2.6239,0.386,0
9,0.321,1858.189,1595.503,4.288,0.243,0.015807,206.101237,-0.3833,2.5023,0.4144,0
10,0.304,1840.256,1573.697,4.339,0.255,0.014573,189.581544,-0.3931,2.4771,0.3914,0
9,0.339,1846.96,1579.206,4.597,0.278,0.021432,224.322358,-0.4811,2.6208,0.4317,0
9,0.305,1834.796,1574.506,4.429,0.253,0.012613,191.555238,-0.4393,2.5875,0.3954,0
9,0.349,1886.342,1619.492,4.299,0.241,0.021669,242.276268,-0.3161,2.3937,0.447,0
10,0.327,1866.844,1605.755,4.453,0.255,0.020697,215.000005,-0.4157,2.5623,0.4218,0
9,0.322,1795.211,1531.451,4.497,0.24,0.01584,210.404206,-0.4826,2.6694,0.4143,0
9,0.338,1856.065,1593.353,4.412,0.246,0.017767,227.848414,-0.4064,2.5644,0.4359,0
9,0.332,1839.59,1574.195,4.254,0.237,0.015325,215.427603,-0.3883,2.4853,0.426,0
10,0.337,1853.661,1587.225,4.41,0.262,0.021951,226.885612,-0.3658,2.5402,0.4316,0
9,0.305,1826.558,1566.284,4.486,0.26,0.013193,190.915348,-0.4907,2.6674,0.3943,0
9,0.316,1825.743,1568.486,4.408,0.246,0.015286,207.328449,-0.421,2.6327,0.4125,0
9,0.33,1927.43,1664.376,4.21,0.239,0.017442,216.477752,-0.3057,2.3686,0.4212,0
10,0.31,1836.095,1568.942,4.484,0.258,0.014426,191.319117,-0.4627,2.5649,0.3975,0
9,0.322,1895.191,1634.435,4.48,0.235,0.015423,210.116643,-0.4325,2.53,0.4135,0
9,0.348,1821.636,1550.178,4.591,0.317,0.019865,233.388661,-0.4384,2.5173,0.4422,0
12,0.343,1827.036,1560.595,4.685,0.334,0.019265,233.111468,-0.363,2.524,0.4393,0
9,0.332,1806.639,1533.028,4.722,0.344,0.012803,206.593316,-0.4392,2.6148,0.4182,0
11,0.36,1820.11,1546.757,4.789,0.336,0.019251,243.243352,-0.5416,2.6017,0.4537,0
11,0.299,1816.603,1556.961,4.744,0.337,0.011076,177.697176,-0.4917,2.6946,0.3862,0
10,0.337,1789.34,1513.258,4.678,0.335,0.01541,210.432611,-0.3627,2.4289,0.4229,0
10,0.347,1766.276,1503.452,4.87,0.362,0.020134,232.506122,-0.5043,2.6885,0.444,0
10,0.354,1774.657,1507.027,4.922,0.354,0.018751,242.475015,-0.4826,2.6692,0.4498,0
13,0.344,1741.443,1477.255,4.82,0.342,0.018394,229.441296,-0.5258,2.6661,0.4362,0
9,0.312,1897.795,1623.159,4.495,0.313,0.01411,187.12344,-0.4006,2.3405,0.3934,0
11,0.337,1751.483,1483.326,4.755,0.361,0.019838,218.037426,-0.5214,2.6334,0.4251,0
10,0.336,1726.066,1465.507,4.888,0.347,0.012962,219.799187,-0.5525,2.7583,0.427,0
14,0.315,1727.089,1465.725,4.569,0.34,0.010309,193.942239,-0.5448,2.5805,0.4005,0
12,0.297,1753.743,1492.011,4.674,0.345,0.010588,170.078861,-0.5495,2.8172,0.3786,0
12,0.337,1756.07,1490.683,5.221,0.323,0.012447,211.876586,-0.4666,2.726,0.4275,0
10,0.359,1838.7,1564.425,4.691,0.32,0.018971,246.38334,-0.3438,2.49,0.4534,0
10,0.35,1830.896,1554.11,4.5,0.306,0.018996,232.52518,-0.3608,2.3845,0.4421,0
10,0.325,1786.698,1521.692,4.717,0.349,0.018127,208.067775,-0.4846,2.643,0.4165,0
9,0.357,1784.357,1514.145,4.919,0.358,0.020321,247.596243,-0.51,2.6312,0.4519,0
10,0.3,1826.083,1552.91,4.597,0.358,0.010762,172.632281,-0.4381,2.4849,0.3802,0
10,0.316,1769.637,1501.967,4.727,0.347,0.01415,196.179603,-0.5086,2.5668,0.4021,0
10,0.364,1708.423,1448.871,5.141,0.378,0.021405,249.997103,-0.5485,2.8404,0.4579,0
13,0.305,1742.647,1483.036,4.678,0.372,0.011859,180.073176,-0.4997,2.6924,0.3923,0
10,0.33,1702.676,1449.485,4.824,0.353,0.014725,213.108607,-0.5819,2.7395,0.4238,0
11,0.339,1728.812,1473.439,4.953,0.36,0.01816,223.221276,-0.5764,2.8527,0.4358,0
13,0.299,1699.402,1445.042,5.087,0.375,0.009284,174.046205,-0.5144,2.8644,0.3813,0
11,0.332,1717.711,1461.255,4.791,0.333,0.015415,215.773335,-0.453,2.7209,0.4265,0
10,0.356,1817.302,1537.698,4.712,0.366,0.01873,236.311458,-0.48,2.4676,0.4448,0
14,0.309,1739.19,1478.286,5.066,0.38,0.010489,185.72716,-0.567,2.7585,0.3951,0
12,0.472,1889.038,1582.753,5.103,0.408,0.070771,385.777788,-0.2103,2.1017,0.5703,0
13,0.483,1965.996,1659.478,4.932,0.411,0.05653,409.728906,-0.1378,2.0041,0.5839,1
17,0.735,2135.337,1751.404,4.11,0.362,0.376782,782.147791,0.1405,1.495,0.8051,1
11,0.407,1862.695,1566.26,4.733,0.335,0.028553,301.779113,-0.1827,2.2065,0.4988,0
10,0.36,1771.65,1498.088,4.582,0.36,0.023325,245.492557,-0.3582,2.4942,0.452,0
9,0.343,1832.572,1552.297,4.813,0.367,0.014003,222.185644,-0.4798,2.5061,0.4282,0
11,0.441,1796.132,1522.942,4.676,0.351,0.050185,366.758899,-0.2207,2.4823,0.5578,0
15,0.335,1775.264,1496.921,4.776,0.372,0.014123,209.531497,-0.4957,2.4662,0.4164,0
13,0.442,1841.973,1555.103,5.428,0.37,0.042389,350.979741,-0.3692,2.4259,0.5453,0
12,0.362,1768.949,1501.29,4.756,0.384,0.023058,254.817433,-0.4553,2.5922,0.458,0
14,0.43,1804.094,1517.305,5.12,0.406,0.043567,334.952949,-0.2289,2.367,0.5294,0
12,0.416,1817.818,1536.592,5.111,0.382,0.032474,318.306373,-0.3376,2.402,0.5167,0
13,0.448,1863.591,1571.177,5.05,0.386,0.048052,363.285861,-0.1973,2.3164,0.5491,0
11,0.375,1797.604,1518.839,4.939,0.361,0.021019,257.424056,-0.5433,2.6171,0.4655,0
11,0.331,1757.255,1486.627,4.806,0.363,0.016208,208.285208,-0.4215,2.562,0.4165,0
14,0.344,1726.364,1463.268,4.774,0.364,0.016507,218.323576,-0.4921,2.6389,0.4349,0
13,0.335,1720.509,1455.454,4.902,0.376,0.014989,212.023768,-0.4324,2.6757,0.4206,0
10,0.304,1783.693,1521.199,4.69,0.341,0.010595,181.315395,-0.3953,2.6641,0.391,0
11,0.377,1790.854,1517.964,5.136,0.348,0.020831,256.038999,-0.4066,2.5586,0.4731,0
10,0.325,1756.982,1494.447,4.875,0.394,0.015525,204.036406,-0.4111,2.7807,0.4138,0
14,0.344,1812.043,1537.435,4.795,0.368,0.016323,222.42532,-0.5002,2.5634,0.4316,0
12,0.355,1701.406,1440.927,4.798,0.364,0.021625,241.093053,-0.4842,2.662,0.4476,0
9,0.329,1825.593,1567.965,4.565,0.301,0.018354,222.862897,-0.4381,2.6542,0.427,0
10,0.357,1793.526,1519.727,4.917,0.394,0.018736,241.024999,-0.4244,2.5373,0.4489,0
15,0.339,1778.955,1516.836,4.927,0.348,0.015175,221.124648,-0.5304,2.8619,0.4328,0
11,0.345,1779.947,1523.072,4.751,0.343,0.020655,242.311442,-0.4315,2.7285,0.4491,0
13,0.348,1806.23,1529.307,4.638,0.378,0.0187,228.764826,-0.3854,2.4536,0.4357,0
10,0.366,1765.767,1495.452,4.806,0.354,0.020541,255.311562,-0.4321,2.5579,0.4635,0
16,0.446,1920.653,1606.338,5.027,0.395,0.049784,346.175465,-0.2215,1.9814,0.5344,1
11,0.41,1869.518,1582.623,4.674,0.327,0.02865,312.410916,-0.2009,2.2934,0.5097,0
12,0.452,1936.536,1630.65,4.861,0.371,0.046739,358.856886,-0.1234,2.0819,0.5469,1
13,0.418,1966.294,1678.121,4.786,0.345,0.031451,320.929699,-0.2709,2.1122,0.5161,0
10,0.364,1746.353,1473.032,4.849,0.363,0.020035,251.574091,-0.4518,2.5152,0.4538,0
12,0.375,1826.068,1561.201,4.945,0.335,0.021256,258.934088,-0.3159,2.6081,0.4803,0
12,0.383,1717.35,1460.55,4.972,0.352,0.028185,278.41267,-0.0789,2.7131,0.4914,0
10,0.355,1746.202,1487.071,5.383,0.31,0.019792,240.999948,-0.4069,2.8463,0.4538,0
12,0.4,1815.397,1536.393,5.021,0.405,0.027838,286.016357,-0.2214,2.4554,0.5009,0
9,0.378,1730.921,1467.921,5.412,0.295,0.019635,248.651234,-0.3841,2.808,0.4758,0
12,0.422,1855.313,1573.896,4.8,0.415,0.034804,343.56292,-0.2132,2.2844,0.5302,0
12,0.409,1801.458,1532.49,5.122,0.374,0.034179,310.599847,-0.2505,2.6245,0.5192,0
9,0.385,1788.837,1511.204,5.369,0.345,0.022305,271.425833,-0.4059,2.6233,0.4781,0
9,0.352,1809.667,1534.726,5.253,0.312,0.016777,220.991352,-0.3231,2.5772,0.4404,0
12,0.417,1861.534,1587.497,5.053,0.394,0.029075,325.432055,-0.2477,2.4795,0.5267,0
11,0.408,1824.808,1541.772,5.16,0.38,0.029395,302.140531,-0.2503,2.4138,0.507,0
13,0.46,1957.418,1637.837,4.946,0.435,0.043567,353.607626,-0.2054,1.9682,0.5447,1
12,0.43,1916.956,1616.332,4.965,0.397,0.033823,315.113059,-0.199,2.1713,0.5214,1
16,0.654,2153.074,1784.103,4.814,0.384,0.208273,632.984431,-0.048,1.554,0.7261,1
10,0.371,1899.097,1622.779,4.616,0.304,0.025615,267.085867,-0.3632,2.3707,0.4676,0
11,0.423,1809.688,1531.802,5.115,0.349,0.043728,334.89868,-0.2718,2.4345,0.5297,0
11,0.483,1919.801,1608.12,4.871,0.38,0.056349,396.290411,-0.1978,2.0812,0.5776,1
12,0.437,1871.687,1572.926,5.026,0.376,0.041606,338.973606,-0.1508,2.2674,0.5305,0
11,0.369,1822.19,1556.893,5.054,0.381,0.021926,250.473956,-0.3366,2.6203,0.4716,0
11,0.385,1769.138,1503.289,5.07,0.379,0.027349,284.932328,-0.2583,2.7063,0.4887,0
9,0.36,1838.513,1555.105,5.271,0.349,0.017515,222.469252,-0.3047,2.4825,0.4448,0
13,0.45,1904.072,1606.182,5.122,0.395,0.043194,343.323791,-0.3329,2.2487,0.5478,0
10,0.28,1799.609,1536.396,4.624,0.341,0.009019,151.964378,-0.4811,2.7227,0.3581,0
9,0.322,1783.872,1511.241,4.584,0.356,0.012963,195.468981,-0.3719,2.491,0.4064,0
17,0.395,1884.268,1586.943,5.086,0.388,0.028857,272.215084,-0.2924,2.2624,0.4809,0
11,0.391,1760.152,1488.681,4.976,0.396,0.024092,277.522249,-0.1119,2.5399,0.4909,0
9,0.373,1798.488,1520.318,5.354,0.338,0.014741,248.311392,-0.42,2.4933,0.4648,0
14,0.492,1950.952,1622.045,5.01,0.39,0.06219,392.449251,-0.1969,1.9322,0.5763,0
11,0.412,1795.206,1509.278,5.147,0.373,0.022597,298.359227,-0.17,2.3708,0.5076,1
13,0.477,1954.651,1644.038,4.989,0.397,0.051801,381.229505,-0.1365,2.0704,0.57,0
17,0.634,2234.969,1846.363,4.772,0.29,0.182379,567.492553,-0.0592,1.4161,0.6871,1
12,0.438,1865.967,1575.946,4.58,0.306,0.038159,356.612613,0.0023,2.2704,0.5418,0
9,0.322,1791.847,1518.973,4.502,0.326,0.012881,201.289331,-0.4569,2.4584,0.4061,0
12,0.381,1784.26,1498.713,4.958,0.386,0.01853,260.44297,-0.3952,2.4295,0.468,0
10,0.391,1826.191,1542.499,4.941,0.372,0.026261,267.672636,-0.3306,2.45,0.4836,0
10,0.359,1825.964,1541.797,4.671,0.381,0.018444,236.621105,-0.4158,2.4115,0.444,0
9,0.304,1790.197,1527.029,4.573,0.288,0.011748,186.554448,-0.564,2.6968,0.3907,0
10,0.317,1844.589,1571.31,4.53,0.334,0.012959,191.912111,-0.5008,2.489,0.4006,0
10,0.366,1770.083,1507.374,4.718,0.328,0.024424,265.840348,-0.2664,2.656,0.47,0
13,0.396,1761.478,1494.41,4.794,0.333,0.035623,298.482523,-0.2788,2.6204,0.5016,0
10,0.366,1783.859,1512.015,4.758,0.336,0.024363,262.344446,-0.3696,2.5279,0.4637,0
17,0.667,2128.033,1751.949,4.37,0.362,0.260724,655.889841,0.0688,1.5276,0.7382,0
13,0.503,2033.648,1724.654,4.94,0.381,0.081051,434.533679,-0.2104,1.964,0.601,1
11,0.444,1779.197,1496.442,4.816,0.384,0.037449,343.866889,-0.2826,2.3765,0.5467,0
12,0.392,1852.164,1567.061,5.023,0.361,0.02294,282.185849,-0.3495,2.4273,0.4854,0
13,0.469,1922.081,1610.522,4.719,0.366,0.056666,383.354235,-0.2123,1.9974,0.5636,1
13,0.45,1977.589,1671.634,4.867,0.333,0.041161,350.790454,-0.0265,2.0186,0.5442,0
9,0.293,1824.695,1562.959,4.455,0.282,0.010888,170.570255,-0.3658,2.6076,0.3777,0
10,0.353,1876.148,1582.334,4.841,0.386,0.019506,224.860937,-0.4466,2.3418,0.4325,0
11,0.423,1789.245,1522.875,4.977,0.344,0.050193,344.819308,-0.2548,2.6717,0.5386,0
13,0.475,1836.943,1537.573,5.01,0.415,0.065831,390.615732,-0.2299,2.1693,0.5764,0
12,0.415,1826.996,1553.033,5.285,0.35,0.036971,325.689636,-0.2801,2.5062,0.5229,0
