TCSC,MAV,STE,MEA,shannon,sample,b_power_git,energy_git,skewness,kurtosis,std_dev,rhythm
5,0.52,1552.487,1346.461,2.6,0.286,0.0019,152.1384,4.557,26.3109,0.3897,0
5,0.189,1362.738,1288.883,2.124,0.279,0.0028,138.9024,4.9633,28.8485,0.3694,0
4,0.251,1394.823,1285.957,2.294,0.32,0.0015,115.8414,5.4091,34.7164,0.3353,0
5,0.327,1451.724,1299.368,2.49,0.317,0.0017,122.3223,4.9977,29.704,0.3488,0
5,0.27,1414.46,1293.686,2.375,0.28,0.0026,129.3084,4.838,27.7623,0.356,0
4,0.274,1426.045,1293.023,2.361,0.327,0.002,106.4931,5.2648,33.2085,0.3187,0
5,0.306,1442.207,1298.918,2.195,0.303,0.0018,131.6788,4.753,26.7549,0.3563,0
4,0.394,1527.804,1320.554,2.247,0.322,0.0012,105.3582,5.274,33.2579,0.3179,0
5,0.349,1465.679,1303.767,2.401,0.307,0.0028,137.4464,4.7256,26.6839,0.3632,0
5,0.305,1442.066,1301.393,2.265,0.262,0.0027,138.8837,4.7697,26.8777,0.3662,0
4,0.283,1433.894,1295.305,2.272,0.341,0.0012,107.001,5.2556,32.89,0.3197,0
5,0.29,1433.686,1299.107,2.398,0.287,0.0027,131.5215,4.8249,27.6815,0.3576,0
5,0.349,1470.409,1305.669,2.195,0.249,0.0018,133.0055,4.8876,28.2242,0.3604,0
5,0.314,1443.736,1301.498,2.42,0.279,0.0024,137.9654,4.8747,28.1344,0.3678,0
4,0.366,1474.146,1302.384,2.332,0.315,0.0015,119.8159,5.3189,33.8163,0.3392,0
5,0.353,1471.112,1305.184,2.448,0.28,0.002,129.195,4.9504,29.0855,0.3574,0
5,0.391,1485.318,1308.676,2.24,0.285,0.0025,149.8842,4.7936,27.2085,0.3807,0
5,0.234,1387.025,1289.343,2.41,0.311,0.0024,135.3784,4.9203,28.6835,0.3646,0
4,0.219,1386.756,1286.691,2.246,0.332,0.0012,106.612,5.3658,34.3548,0.321,0
5,0.267,1404.535,1291.94,2.487,0.243,0.0031,146.0948,4.7906,27.4127,0.3763,0
5,0.319,1451.84,1299.924,2.279,0.315,0.0021,122.8271,4.8492,27.9343,0.3461,0
4,0.383,1500.966,1310.013,2.339,0.322,0.0012,109.1163,5.2876,33.4952,0.3238,0
5,0.296,1430.99,1296.913,2.429,0.308,0.0025,136.8677,4.7733,27.2831,0.3637,0
5,0.313,1452.189,1303.598,2.224,0.308,0.0018,136.8022,4.7051,26.4162,0.3625,0
5,0.303,1449.459,1305.551,2.419,0.292,0.0024,141.6062,4.6231,25.5447,0.3674,0
5,0.348,1478.243,1307.793,2.413,0.32,0.0014,110.8769,4.8969,28.6605,0.3488,0
4,0.69,1812.621,1474.56,2.407,0.369,0.0015,123.2987,5.1597,32.4064,0.3248,0
5,1.105,2390.124,1958.195,2.523,0.296,0.0028,141.623,4.6554,26.1048,0.3692,0
5,0.428,1531.738,1325.679,2.394,0.273,0.0029,145.3501,4.6828,26.1963,0.3731,0
4,0.17,1349.442,1278.88,2.462,0.338,0.0012,101.4247,5.4424,35.808,0.3157,0
5,0.192,1372.922,1292.949,2.45,0.311,0.0019,132.8384,4.7621,27.2454,0.3589,0
5,0.239,1394.066,1293.57,2.351,0.288,0.0017,144.7451,4.7891,27.233,0.3748,0
4,0.189,1363.299,1285.015,2.349,0.312,0.0021,117.6115,5.3624,34.0804,0.338,0
5,0.293,1424.81,1297.803,2.276,0.292,0.0033,150.5076,4.7894,27.1457,0.3813,0
5,0.268,1416.292,1297.352,2.269,0.289,0.0017,139.5775,4.7953,27.3403,0.3683,0
5,0.254,1403.672,1288.943,2.441,0.312,0.002,112.2773,5.1157,31.2749,0.3367,0
4,0.263,1420.361,1295.672,2.433,0.33,0.0014,118.5553,5.0698,30.5757,0.3346,0
5,0.317,1452.589,1303.828,2.459,0.278,0.0025,139.9048,4.6636,26.1828,0.3659,0
5,0.32,1442.552,1297.112,2.347,0.296,0.0021,129.3598,4.9305,29.1016,0.3569,0
5,0.246,1403.542,1291.335,2.575,0.316,0.0021,117.6526,4.8796,28.8712,0.3414,0
5,0.276,1435.169,1300.711,2.394,0.305,0.0019,119.7141,4.8173,27.8717,0.3425,0
5,0.359,1480.576,1304.793,2.514,0.345,0.0018,114.6626,4.8897,28.8565,0.3369,0
7,0.348,1464.511,1308.949,2.592,0.281,0.0053,183.7017,3.0682,15.5241,0.417,0
24,0.639,1948.691,1600.67,4.423,0.527,0.2118,574.8593,0.1267,1.7656,0.7011,1
24,0.705,1821.846,1509.184,3.909,0.593,0.2105,670.8127,0.2488,2.1795,0.7596,1
23,0.717,1847.344,1529.854,3.808,0.554,0.2071,645.2742,0.3027,2.1944,0.7488,1
26,0.521,1779.288,1479.824,4.825,0.611,0.0757,385.3079,-0.0782,1.8977,0.5823,1
35,0.619,1867.842,1551.732,4.471,0.657,0.2482,570.8634,0.0039,2.1142,0.7195,1
13,0.323,1595.076,1370.163,4.505,0.687,0.0088,131.5812,-0.0205,3.8641,0.3518,1
13,0.349,1815.071,1518.599,4.255,0.728,0.0022,65.5323,0.2411,3.2903,0.2506,1
31,0.2,1523.793,1329.796,4.299,0.72,0.0022,65.774,0.2178,3.6193,0.2479,1
19,0.248,1611.363,1379.004,4.53,0.696,0.0029,79.4123,-0.232,2.5791,0.2684,1
8,0.353,1687.261,1421.782,4.479,0.698,0.0045,99.2762,-0.06,2.8631,0.298,1
6,0.307,1651.039,1417.799,4.547,0.694,0.0021,70.2187,-0.1578,3.0361,0.2515,1
14,0.249,1570.121,1363.368,4.665,0.651,0.003,90.0217,-0.1518,2.7405,0.2818,1
7,0.358,1810.631,1518.811,4.386,0.651,0.0048,103.0228,0.0773,2.2641,0.3042,1
7,0.375,1826.415,1530.738,4.4,0.694,0.0034,83.5436,0.0865,2.4623,0.2708,1
6,0.367,1758.917,1480.854,4.429,0.634,0.0072,113.697,0.0001,3.2579,0.3169,1
3,0.361,1901.926,1591.936,4.528,0.684,0.0025,69.986,0.0175,2.2698,0.2474,1
10,0.251,1800.376,1501.998,4.143,0.688,0.0011,48.7909,0.1432,2.8428,0.2085,1
19,0.325,1795.608,1509.896,4.509,0.635,0.0071,105.657,-0.0465,2.1643,0.305,1
3,0.636,1810.77,1515.761,4.275,0.676,0.0024,71.4509,0.0287,2.3638,0.2533,1
0,1.403,2382.013,1927.472,4.216,0.677,0.0023,66.5593,0.1415,3.4175,0.2413,1
0,1.229,2232.857,1819.325,4.645,0.644,0.0197,164.0291,0.0495,1.9901,0.3794,1
4,0.356,1651.561,1424.666,4.475,0.669,0.007,114.4076,0.0514,2.6988,0.3158,1
29,0.299,1934.472,1612.263,4.455,0.629,0.0108,129.7206,0.1631,2.0586,0.3384,1
29,0.327,1823.635,1512.491,4.535,0.629,0.0117,161.2418,0.0454,2.0988,0.3765,1
27,0.356,1927.564,1591.784,4.637,0.62,0.0192,181.4007,0.0449,1.8606,0.3981,1
