TCSC,MAV,STE,MEA,shannon_git,sample_git,power_git,energy_git,skewness,kurtosis,std_dev,rhythm
1,0.223,1832.908,1552.087,4.672,0.374,0.006881,142.256129,-0.5634,2.8943,0.349,0
5,0.218,1743.814,1504.827,5.123,0.372,0.015669,226.839194,-0.4298,2.5739,0.4382,0
4,0.201,1773.064,1516.995,5.242,0.339,0.009125,166.170199,-0.6012,2.812,0.3797,0
7,0.165,1746.219,1491.022,4.815,0.331,0.006255,144.167321,-0.6331,3.3149,0.3507,0
6,0.198,1755.984,1484.423,4.64,0.333,0.008551,157.445958,-0.4983,2.6169,0.3647,0
9,0.197,1747.334,1488.5,5.002,0.346,0.011611,188.318461,-0.6503,2.885,0.3999,0
8,0.191,1775.191,1510.89,4.725,0.343,0.016783,220.339576,-0.3457,2.6472,0.4293,0
7,0.208,1791.311,1525.906,5.06,0.361,0.021615,246.193819,-0.1572,2.7839,0.4643,0
9,0.176,1731.68,1481.871,4.77,0.374,0.010913,183.579216,-0.429,2.5139,0.3959,0
4,0.205,1719.676,1466.989,5.205,0.268,0.01293,217.436753,-0.3005,2.6957,0.4376,0
8,0.186,1704.3,1460.945,5.373,0.298,0.009449,194.821514,-0.4531,2.7194,0.4132,0
2,0.187,1758.366,1491.174,5.267,0.25,0.007706,178.584508,-0.396,2.79,0.3945,0
5,0.174,1749.664,1493.898,5.206,0.222,0.008172,168.60433,-0.4101,3.0768,0.3831,0
4,0.197,1747.494,1493.687,5.307,0.235,0.015422,212.955152,-0.4286,2.9044,0.4348,0
6,0.205,1770.512,1505.907,5.264,0.249,0.017671,229.342729,-0.3353,2.6957,0.4514,0
7,0.177,1696.753,1451.585,5.18,0.242,0.012078,204.664969,-0.3378,2.7462,0.4265,0
10,0.229,1774.302,1505.145,4.944,0.364,0.028151,293.906452,-0.2022,2.7001,0.502,0
11,0.175,1845.793,1572.145,4.819,0.37,0.010181,184.615685,-0.4725,2.6807,0.394,0
7,0.186,1717.403,1471.017,5.039,0.336,0.018558,247.840874,-0.4701,2.7433,0.4573,0
5,0.173,1816.208,1549.74,4.903,0.355,0.007108,153.105779,-0.5238,2.8336,0.3587,0
10,0.197,1804.993,1544.073,4.805,0.359,0.018315,225.854307,-0.429,2.7707,0.4444,0
8,0.207,1854.127,1573.001,4.822,0.338,0.017919,241.232501,-0.4959,2.4882,0.4495,0
13,0.204,1835.62,1550.261,5.017,0.361,0.013383,214.170668,-0.5734,2.902,0.4308,0
6,0.207,1825.538,1545.85,4.818,0.349,0.013609,210.346135,-0.5619,2.659,0.4231,0
13,0.198,1794.011,1534.679,4.927,0.343,0.012622,219.598421,-0.5307,2.8237,0.4298,0
10,0.217,1839.188,1561.749,4.842,0.352,0.016149,211.767159,-0.441,2.8116,0.4305,0
8,0.201,1814.549,1542.102,4.822,0.36,0.015609,210.914306,-0.5273,2.5989,0.4185,0
11,0.2,1799.765,1536.929,4.891,0.366,0.018678,225.892417,-0.5821,2.5912,0.4338,0
9,0.191,1838.398,1578.041,4.892,0.312,0.011003,190.717117,-0.5507,2.7721,0.3968,0
10,0.188,1780.691,1524.925,4.347,0.232,0.012614,193.354407,-0.4382,2.6422,0.399,0
8,0.201,1744.857,1477.977,4.397,0.244,0.014488,200.746007,-0.4745,2.5723,0.409,0
12,0.179,1750.759,1496.376,4.401,0.256,0.014708,189.520038,-0.4364,2.5202,0.392,0
10,0.178,1771.478,1513.162,4.471,0.248,0.01472,198.718842,-0.4085,2.5629,0.4075,0
7,0.182,1737.712,1487.049,4.481,0.252,0.011023,180.515161,-0.4628,2.6239,0.386,0
9,0.192,1734.721,1478.669,4.288,0.243,0.015807,206.101237,-0.3833,2.5023,0.4144,0
10,0.19,1790.861,1531.297,4.339,0.255,0.014573,189.581544,-0.3931,2.4771,0.3914,0
8,0.204,1734.469,1477.095,4.597,0.278,0.021432,224.322358,-0.4811,2.6208,0.4317,0
4,0.184,1798.571,1542.065,4.429,0.253,0.012613,191.555238,-0.4393,2.5875,0.3954,0
9,0.214,1813.032,1546.543,4.299,0.241,0.021669,242.276268,-0.3161,2.3937,0.447,0
6,0.202,1750.429,1492.913,4.453,0.255,0.020697,215.000005,-0.4157,2.5623,0.4218,0
7,0.203,1745.162,1485.676,4.497,0.24,0.01584,210.404206,-0.4826,2.6694,0.4143,0
6,0.22,1767.954,1506.702,4.412,0.246,0.017767,227.848414,-0.4064,2.5644,0.4359,0
7,0.209,1776.446,1514.468,4.254,0.237,0.015325,215.427603,-0.3883,2.4853,0.426,0
7,0.203,1749.78,1489.677,4.41,0.262,0.021951,226.885612,-0.3658,2.5402,0.4316,0
9,0.175,1747.937,1495.911,4.486,0.26,0.013193,190.915348,-0.4907,2.6674,0.3943,0
11,0.176,1798.433,1537.787,4.408,0.246,0.015286,207.328449,-0.421,2.6327,0.4125,0
